Unnamed: 0,Order: Family and scientific name,IUCN Status,Remarks
,Cypriniformes: Cyprinidae,,
1.0,"Amblypharyngodon mola (Hamilton, 1822)",LC,CA
2.0,"Bengala elanga (Hamilton, 1822)",LC,CA
3.0,"Catla catla (Hamilton, 1822)",LC,NCA
4.0,"Chela cachius (Hamilton, 1822)",LC,CA
5.0,"Cirrhinus mrigala (Hamilton, 1822)",LC,NCA
6.0,"Danio rerio (Hamilton, 1822)",LC,CA
7.0,"Devario devario (Hamilton, 1822)",LC,CA
8.0,"Esomus danricus (Hamilton, 1822)",LC,CA
9.0,"Labeo bata (Hamilton, 1822)",LC,NCA
10.0,"Labeo calbasu (Hamilton, 1822)",LC,NCA
11.0,"Labeo rohita (Hamilton, 1822)",LC,NCA
12.0,"Laubuka laubuca (Hamilton, 1822)",LC,CA
13.0,"Puntius chola (Hamilton, 1822)",LC,CA
14.0,"Pethia conchonius (Hamilton, 1822)",LC,CA
15.0,"Pethia gelius (Hamilton, 1822)",LC,CA
16.0,"Pethia phutunio (Hamilton, 1822)",LC,CA
17.0,"Pethia ticto (Hamilton, 1822)",LC,CA
18.0,"Puntius sophore (Hamilton, 1822)",LC,CA
19.0,"Puntius terio (Hamilton, 1822)",LC,CA
20.0,"Rasbora daniconius (Hamilton, 1822)",LC,CA
21.0,"Salmostoma acinaces (Valenciennes, 1844)",LC,CA
22.0,"Salmostoma bacaila (Hamilton, 1822)",LC,CA
23.0,"Salmostoma phulo (Hamilton, 1822)",LC,CA
24.0,"Securicula gora (Hamilton, 1822)",LC,NCA
25.0,"Systomus sarana (Hamilton, 1822)",LC,NCA
,Cobitidae,,
26.0,"Lepidocephalichthys guntea (Hamilton, 1822)",LC,CA
,Perciformes: Ambassidae,,
27.0,"Chanda nama (Hamilton, 1822)",LC,CA
28.0,"Parambassis lala (Hamilton, 1822)",NT,CA
29.0,"Parambassis ranga (Hamilton, 1822)",LC,CA
,Anabantidae,,
30.0,"Anabas testudineus (Bloch, 1792)",DD,NCA
,Osphronemidae,,
31.0,"Trichogaster fasciata (Bloch & Schneider, 1801)",LC,CA
32.0,"Trichogaster lalius (Hamilton, 1822)",LC,CA
33.0,"Trichogaster chuna (Hamilton, 1822)",LC,CA
,Perciformes: Nandidae,,
34.0,"Nandus nandus (Hamilton, 1822)",LC,CA
,Badidae,,
35.0,"Badis badis (Hamilton, 1822)",LC,CA
,Channidae,,
36.0,"Channa barca (Hamilton, 1822)",DD,NCA
37.0,"Channa marulius (Hamilton, 1822)",LC,NCA
38.0,"Channa gachua (Hamilton, 1822)",LC,CA
39.0,"Channa punctata (Bloch, 1793)",LC,NCA
40.0,"Channa striata (Bloch, 1793)",LC,NCA
,Gobiidae,,
41.0,"Apocryptes bato (Hamilton, 1822)",NE,CA
42.0,"Boleophthalmus boddarti (Pallas, 1770)",LC,NCA
43.0,"Glossogobius giuris (Hamilton, 1822)",LC,NCA
44.0,"Gobiopterus chuno (Hamilton, 1822)",DD,CA
45.0,"Stigmatogobius sadanundio (Hamilton, 1822)",NE,CA
,Scatophagidae,,
46.0,"Scatophagus argus (Linnaeus, 1766)",LC,NCA
,Teraponidae,,
47.0,"Terapon jarbua (Forsskal, 1775)",LC,NCA
,Synbranchiformes: Mastacembelidae,,
48.0,"Mastacembelus armatus (Lacepede, 1800)",LC,NCA
49.0,"Macrognathus aral (Bloch & Schneider, 1801)",LC,NCA
50.0,"Macrognathus pancalus (Hamilton, 1822)",LC,CA
,Synbranchidae,,
51.0,"Monopterus cuchia (Hamilton, 1822)",LC,NCA
,Clupeiformes: Clupeidae,LC,
52.0,"Gonialosa manmina (Hamilton, 1822)",LC,CA
53.0,"Gudusia chapra (Hamilton, 1822)",LC,CA
,Osteoglossiformes: Notopteridae,,
54.0,"Chitala chitala (Hamilton, 1822)",NT,NCA
55.0,"Notopterus notopterus (Pallas, 1769)",LC,NCA
,Tetraodontiformes: Tetraodontidae,LC,
56.0,"Leiodon cutcutia (Hamilton, 1822)",LC,CA
57.0,"Dichotomyctere fluviatilis (Hamilton, 1822)",LC,CA
,Cyprinodontiformes: Aplocheilidae,,
58.0,"Aplocheilus panchax (Hamilton, 1822)",LC,CA
,Beloniformes: Belonidae,,
59.0,"Xenentodon cancila (Hamilton, 1822)",LC,NCA
,Siluriformes: Bagridae,,
60.0,"Mystus cavasius (Hamilton, 1822)",LC,NCA
61.0,"Mystus gulio (Hamilton, 1822)",LC,NCA
62.0,"Mystus tengara (Hamilton, 1822)",LC,CA
63.0,"Mystus vittatus (Bloch, 1794)",LC,CA
64.0,"Sperata aor (Hamilton, 1822)",LC,NCA
65.0,"Sperata seenghala (Sykes, 1839)",LC,NCA
,Siluridae,,
66.0,"Ompok bimaculatus (Bloch, 1794)",NT,NCA
67.0,"Ompok pabda (Hamilton, 1822)",NT,CA
68.0,"Wallago attu (Bloch & Schneider, 1801)",NT,NCA
,Schilbeidae,,
69.0,"Ailia coila (Hamilton, 1822)",NT,NCA
70.0,"Clupisoma garua (Hamilton, 1822)",LC,NCA
71.0,"Eutropiichthys vacha (Hamilton, 1822)",LC,NCA
72.0,"Pachypterus atherinoides (Bloch, 1794)",LC,CA
73.0,"Silonia silondia (Hamilton, 1822)",LC,NCA
,Pangasiidae,,
74.0,"Pangasius pangasius (Hamilton, 1822)",LC,NCA
,Sisoridae,,
75.0,"Bagarius bagarius (Hamilton, 1822)",NT,NCA
76.0,"Gagata cenia (Hamilton, 1822)",LC,CA
77.0,"Gagata gagata (Hamilton, 1822)",LC,NCA
78.0,"Glyptothorax telchitta (Hamilton, 1822)",LC,CA
79.0,"Gogangra viridescens (Hamilton, 1822)",LC,CA
,Heteropneustidae,,
80.0,"Heteropneustes fossilis (Bloch, 1794)",LC,NCA
,Clariidae,,
81.0,"Clarias magur (Hamilton, 1822)",LC,NCA
,Anguilliformes: Anguillidae,,
82.0,"Anguilla bengalensis (Gray, 1831)",NT,NCA
,Ophichthidae,,
83.0,"Pisodonophis boro (Hamilton, 1822)",LC,NCA
,Syngnathiformes: Syngnathidae,,
84.0,"Microphis deocata (Hamilton, 1822)",NT,CA
